facility_id,facility_name,facility_address,city,county,state,state_code,zip,phone,hosp_type,hosp_ownership,emergency_unit,ehr_interoperability,hosp_rating
10022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,CHEROKEE,ALABAMA,AL,35960,(256) 927-5531,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - PRIVATE,Y,Y,3
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,MONTGOMERY,ALABAMA,AL,36116,(334) 288-2100,ACUTE CARE HOSPITALS,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,Y,Y,2
10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,MONTGOMERY,ALABAMA,AL,36106,(334) 293-8000,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - PRIVATE,Y,Y,2
10029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,OPELIKA,LEE,ALABAMA,AL,36801,(334) 528-1300,ACUTE CARE HOSPITALS,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,Y,Y,3
10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,JEFFERSON,ALABAMA,AL,35249,(205) 934-4011,ACUTE CARE HOSPITALS,GOVERNMENT - STATE,Y,Y,2
10034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,ELMORE,ALABAMA,AL,36078,(334) 283-6541,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - PRIVATE,Y,Y,4
10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,CULLMAN,ALABAMA,AL,35058,(256) 737-2000,ACUTE CARE HOSPITALS,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,Y,Y,3
10036,ANDALUSIA HEALTH,849 SOUTH THREE NOTCH STREET,ANDALUSIA,COVINGTON,ALABAMA,AL,36420,(334) 222-8466,ACUTE CARE HOSPITALS,PROPRIETARY,Y,Y,4
10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,CALHOUN,ALABAMA,AL,36207,(256) 235-8900,ACUTE CARE HOSPITALS,PROPRIETARY,Y,Y,3
10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,MADISON,ALABAMA,AL,35801,(256) 265-1000,ACUTE CARE HOSPITALS,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,Y,Y,2
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,ETOWAH,ALABAMA,AL,35903,(256) 494-4000,ACUTE CARE HOSPITALS,PROPRIETARY,Y,Y,3
10044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,MARION,ALABAMA,AL,35570,(205) 921-6200,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - PRIVATE,Y,Y,5
10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,FAYETTE,ALABAMA,AL,35555,(205) 932-5966,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - OTHER,Y,Y,4
10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,ETOWAH,ALABAMA,AL,35901,(256) 543-5200,ACUTE CARE HOSPITALS,PROPRIETARY,Y,Y,4
10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,COFFEE,ALABAMA,AL,36330,(334) 347-0584,ACUTE CARE HOSPITALS,PROPRIETARY,Y,Y,4
10051,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,EUTAW,GREENE,ALABAMA,AL,35462,(205) 372-3388,ACUTE CARE HOSPITALS,GOVERNMENT - LOCAL,Y,N,3
10052,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,DADEVILLE,TALLAPOOSA,ALABAMA,AL,36853,(256) 825-7821,ACUTE CARE HOSPITALS,PROPRIETARY,Y,Y,3
10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,HOUSTON,ALABAMA,AL,36302,(334) 793-5000,ACUTE CARE HOSPITALS,PROPRIETARY,Y,Y,3
10056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,JEFFERSON,ALABAMA,AL,35205,(205) 939-7000,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - PRIVATE,Y,Y,5
10058,BIBB MEDICAL CENTER,208 PIERSON AVE,CENTREVILLE,BIBB,ALABAMA,AL,35042,(205) 926-4881,ACUTE CARE HOSPITALS,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,Y,Y,3
10059,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,MOULTON,LAWRENCE,ALABAMA,AL,35650,(256) 974-2200,ACUTE CARE HOSPITALS,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,Y,Y,4
10061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,JACKSON,ALABAMA,AL,35768,(256) 259-4444,ACUTE CARE HOSPITALS,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,Y,Y,4
10062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,GENEVA,ALABAMA,AL,36340,(334) 684-3655,ACUTE CARE HOSPITALS,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,Y,N,4
10065,RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,ALEXANDER CITY,TALLAPOOSA,ALABAMA,AL,35010,(256) 329-7100,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - PRIVATE,Y,Y,5
10069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA,BARBOUR,ALABAMA,AL,36027,(334) 688-7271,ACUTE CARE HOSPITALS,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,Y,Y,2
10073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,ASHLAND,CLAY,ALABAMA,AL,36251,(256) 354-2131,ACUTE CARE HOSPITALS,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,Y,Y,3
10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST 10TH STREET,ANNISTON,CALHOUN,ALABAMA,AL,36207,(256) 235-5121,ACUTE CARE HOSPITALS,GOVERNMENT - LOCAL,Y,Y,2
10079,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,LIMESTONE,ALABAMA,AL,35611,(256) 233-9292,ACUTE CARE HOSPITALS,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,Y,Y,3
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,BALDWIN,ALABAMA,AL,36535,(251) 949-3400,ACUTE CARE HOSPITALS,PROPRIETARY,Y,Y,4
10085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,MORGAN,ALABAMA,AL,35601,(256) 341-2000,ACUTE CARE HOSPITALS,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,Y,Y,2
10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,FAYETTE,ALABAMA,AL,35594,(205) 487-7000,ACUTE CARE HOSPITALS,PROPRIETARY,Y,Y,3
10087,USA HEALTH UNIVERSITY HOSPITAL,2451 FILLINGIM STREET,MOBILE,MOBILE,ALABAMA,AL,36617,(251) 471-7110,ACUTE CARE HOSPITALS,GOVERNMENT - STATE,Y,Y,3
10089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,WALKER,ALABAMA,AL,35502,(205) 387-4000,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - PRIVATE,Y,Y,3
10090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,MOBILE,ALABAMA,AL,36608,(251) 633-1000,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - CHURCH,Y,Y,4
10091,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,GROVE HILL,CLARKE,ALABAMA,AL,36451,(251) 275-3191,ACUTE CARE HOSPITALS,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,Y,N,4
10092,DCH REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,TUSCALOOSA,ALABAMA,AL,35401,(205) 759-7111,ACUTE CARE HOSPITALS,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,Y,Y,2
10095,HALE COUNTY HOSPITAL,508 GREEN STREET,GREENSBORO,HALE,ALABAMA,AL,36744,(334) 624-3024,ACUTE CARE HOSPITALS,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,Y,Y,3
10097,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,WETUMPKA,ELMORE,ALABAMA,AL,36092,(334) 567-4311,ACUTE CARE HOSPITALS,PROPRIETARY,Y,Y,3
10099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON,ESCAMBIA,ALABAMA,AL,36426,(251) 867-8061,ACUTE CARE HOSPITALS,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,Y,N,2
10100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,BALDWIN,ALABAMA,AL,36532,(251) 928-2375,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - PRIVATE,Y,Y,4
10101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,TALLADEGA,ALABAMA,AL,35160,(256) 761-4542,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - PRIVATE,Y,Y,3
10102,J PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,CAMDEN,WILCOX,ALABAMA,AL,36726,(334) 682-4131,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - OTHER,Y,Y,3
10103,PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,JEFFERSON,ALABAMA,AL,35211,(205) 783-3800,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - CHURCH,Y,Y,3
10104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,BIRMINGHAM,JEFFERSON,ALABAMA,AL,35243,(205) 971-1000,ACUTE CARE HOSPITALS,PROPRIETARY,Y,Y,3
10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AUTAUGA,ALABAMA,AL,36067,(334) 361-4267,ACUTE CARE HOSPITALS,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,Y,Y,5
10110,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,BULLOCK,ALABAMA,AL,36089,(334) 738-2140,ACUTE CARE HOSPITALS,PROPRIETARY,Y,Y,3
10112,WHITFIELD REGIONAL HOSPITAL,105 HIGHWAY 80 EAST,DEMOPOLIS,MARENGO,ALABAMA,AL,36732,(334) 289-4000,ACUTE CARE HOSPITALS,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,Y,N,2
10113,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIRCLE,MOBILE,MOBILE,ALABAMA,AL,36607,(251) 435-4700,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - PRIVATE,Y,Y,2
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,BESSEMER,JEFFERSON,ALABAMA,AL,35022,(205) 481-7000,ACUTE CARE HOSPITALS,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,Y,Y,2
10118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,SELMA,DALLAS,ALABAMA,AL,36701,(334) 418-4100,ACUTE CARE HOSPITALS,PROPRIETARY,Y,Y,3
10120,MONROE COUNTY HOSPITAL,2016 SOUTH ALABAMA AVENUE,MONROEVILLE,MONROE,ALABAMA,AL,36460,(251) 575-3111,ACUTE CARE HOSPITALS,GOVERNMENT - LOCAL,Y,Y,3
10125,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E,HALEYVILLE,WINSTON,ALABAMA,AL,35565,(205) 485-7117,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - CHURCH,Y,Y,5
10126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,PIKE,ALABAMA,AL,36081,(334) 670-5000,ACUTE CARE HOSPITALS,GOVERNMENT - FEDERAL,Y,N,3
10128,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,JACKSON,CLARKE,ALABAMA,AL,36545,(251) 246-9021,ACUTE CARE HOSPITALS,PROPRIETARY,Y,N,2
10129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,BAY MINETTE,BALDWIN,ALABAMA,AL,36507,(251) 937-5521,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - PRIVATE,Y,Y,3
10130,ST VINCENT'S ST CLAIR,7063 VETERANS PARKWAY,PELL CITY,SAINT CLAIR,ALABAMA,AL,35125,(205) 338-3301,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - PRIVATE,Y,Y,3
10131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,MADISON,ALABAMA,AL,35801,(256) 429-4000,ACUTE CARE HOSPITALS,PROPRIETARY,Y,Y,3
10138,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,YORK,SUMTER,ALABAMA,AL,36925,(205) 392-5263,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - OTHER,Y,N,3
10139,BROOKWOOD BAPTIST MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,JEFFERSON,ALABAMA,AL,35209,(205) 877-1000,ACUTE CARE HOSPITALS,PROPRIETARY,Y,Y,3
10144,SPRINGHILL MEDICAL CENTER,3719 DAUPHIN STREET,MOBILE,MOBILE,ALABAMA,AL,36608,(251) 344-9630,ACUTE CARE HOSPITALS,PROPRIETARY,Y,Y,2
10148,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,EVERGREEN,CONECUH,ALABAMA,AL,36401,(251) 578-2480,ACUTE CARE HOSPITALS,PROPRIETARY,Y,N,2
10149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,MONTGOMERY,MONTGOMERY,ALABAMA,AL,36117,(334) 244-8330,ACUTE CARE HOSPITALS,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,Y,Y,4
10150,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,29 L V STABLER DRIVE,GREENVILLE,BUTLER,ALABAMA,AL,36037,(334) 382-2200,ACUTE CARE HOSPITALS,PROPRIETARY,Y,Y,2
10157,SHOALS HOSPITAL,201 WEST AVALON AVENUE,MUSCLE SHOALS,COLBERT,ALABAMA,AL,35661,(256) 386-1601,ACUTE CARE HOSPITALS,PROPRIETARY,Y,Y,3
10158,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,RUSSELLVILLE,FRANKLIN,ALABAMA,AL,35653,(256) 332-1611,ACUTE CARE HOSPITALS,PROPRIETARY,Y,N,4
10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,TALLADEGA,ALABAMA,AL,35150,(256) 249-5000,ACUTE CARE HOSPITALS,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,Y,Y,4
10168,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,RUSSELL,ALABAMA,AL,36867,(334) 732-3000,ACUTE CARE HOSPITALS,GOVERNMENT - STATE,Y,Y,5
10169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,ESCAMBIA,ALABAMA,AL,36502,(251) 368-2500,ACUTE CARE HOSPITALS,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,Y,Y,3
10173,ST VINCENT'S CHILTON,2030 LAY DAM ROAD,CLANTON,CHILTON,ALABAMA,AL,35045,(205) 258-4400,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - CHURCH,Y,Y,3
10174,THOMASVILLE REGIONAL MEDICAL CENTER,300 MED PARK DRIVE,THOMASVILLE,CLARKE,ALABAMA,AL,36784,(205) 873-1442,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - PRIVATE,Y,N,3
11300,WASHINGTON COUNTY HOSPITAL,14600 ST. STEPHENS AVENUE,CHATOM,WASHINGTON,ALABAMA,AL,36518,(251) 847-2223,CRITICAL ACCESS HOSPITALS,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,Y,Y,3
11302,RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,FRANKLIN,ALABAMA,AL,35582,(256) 356-9532,CRITICAL ACCESS HOSPITALS,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,Y,Y,3
11304,CHOCTAW GENERAL HOSPITAL,"401 VANITY FAIR LANE, PO BOX 618",BUTLER,CHOCTAW,ALABAMA,AL,36904,(205) 459-9100,CRITICAL ACCESS HOSPITALS,VOLUNTARY NON-PROFIT - PRIVATE,Y,N,3
11305,ST VINCENTS BLOUNT,150 GILBREATH DRIVE,ONEONTA,BLOUNT,ALABAMA,AL,35121,(205) 274-3000,CRITICAL ACCESS HOSPITALS,VOLUNTARY NON-PROFIT - PRIVATE,N,Y,1
11306,TANNER MEDICAL CENTER-EAST ALABAMA,1032 MAIN STREET SOUTH,WEDOWEE,RANDOLPH,ALABAMA,AL,36278,(256) 357-2111,CRITICAL ACCESS HOSPITALS,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,Y,N,3
13300,THE CHILDREN'S HOSPITAL OF ALABAMA,1600 SEVENTH AVENUE SOUTH,BIRMINGHAM,JEFFERSON,ALABAMA,AL,35233,(205) 939-9100,CHILDRENS,VOLUNTARY NON-PROFIT - PRIVATE,Y,N,3
13301,USA HEALTH CHILDREN'S & WOMEN'S HOSPITAL,1700 CENTER STREET,MOBILE,MOBILE,ALABAMA,AL,36604,(251) 415-1000,CHILDRENS,GOVERNMENT - STATE,Y,N,3
14000,HILL CREST BEHAVIORAL HEALTH SERVICES,6869 FIFTH AVENUE SOUTH,BIRMINGHAM,JEFFERSON,ALABAMA,AL,35212,(205) 833-9000,PSYCHIATRIC,PROPRIETARY,N,N,3
14006,MOUNTAIN VIEW HOSPITAL,3201 SCENIC HIGHWAY,GADSDEN,ETOWAH,ALABAMA,AL,35904,(256) 546-9265,PSYCHIATRIC,PROPRIETARY,N,N,3
14007,BRYCE HOSPITAL,200 UNIVERSITY BLVD,TUSCALOOSA,TUSCALOOSA,ALABAMA,AL,35404,(205) 759-0750,PSYCHIATRIC,GOVERNMENT - STATE,N,N,3
14012,MARY S HARPER GERIATRIC PSYCHIATRY CENTER,201 UNIVERSITY BLVD,TUSCALOOSA,TUSCALOOSA,ALABAMA,AL,35401,(205) 759-0900,PSYCHIATRIC,GOVERNMENT - STATE,Y,N,3
14013,LAUREL OAKS BEHAVIORAL HEALTH CENTER,700 EAST COTTONWOOD RD,DOTHAN,HOUSTON,ALABAMA,AL,36301,(999) 999-9999,PSYCHIATRIC,VOLUNTARY NON-PROFIT - PRIVATE,N,N,3
14014,BAYPOINTE BEHAVIORAL HEALTH,5800 SOUTHLAND DRIVE,MOBILE,MOBILE,ALABAMA,AL,36693,(251) 661-0153,PSYCHIATRIC,VOLUNTARY NON-PROFIT - OTHER,N,N,3
14015,BEACON CHILDREN'S HOSPITAL,150 HOSPITAL DRIVE,LUVERNE,CRENSHAW,ALABAMA,AL,36049,(334) 335-5040,PSYCHIATRIC,PROPRIETARY,N,N,3
14016,"SANCTUARY AT THE WOODLANDS, THE","1910 CHEROKEE AVENUE, SW",CULLMAN,CULLMAN,ALABAMA,AL,35055,(256) 739-1239,PSYCHIATRIC,PROPRIETARY,N,N,3
14017,EASTPOINTE HOSPITAL,7400 ROPER LANE,DAPHNE,BALDWIN,ALABAMA,AL,36526,(251) 378-6500,PSYCHIATRIC,VOLUNTARY NON-PROFIT - OTHER,Y,N,3
14018,UNITY PSYCHIATRIC CARE - HUNTSVILLE,"5315 MILLENIUM DRIVE, NW",HUNTSVILLE,MADISON,ALABAMA,AL,35806,(256) 964-6700,PSYCHIATRIC,PROPRIETARY,N,N,3
20001,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,ANCHORAGE,ANCHORAGE,ALASKA,AK,99519,(907) 562-2211,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - CHURCH,Y,Y,2
20006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER,MATANUSKA-SUSITNA,ALASKA,AK,99645,(907) 861-6000,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - OTHER,Y,Y,4
20008,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,JUNEAU,JUNEAU,ALASKA,AK,99801,(907) 796-8900,ACUTE CARE HOSPITALS,GOVERNMENT - LOCAL,Y,Y,5
20012,FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES STREET,FAIRBANKS,FAIRBANKS NORTH STAR,ALASKA,AK,99701,(907) 452-8181,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - PRIVATE,Y,Y,3
20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,ANCHORAGE,ALASKA,AK,99508,(907) 276-1131,ACUTE CARE HOSPITALS,PROPRIETARY,Y,Y,3
20018,YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,BETHEL,BETHEL,ALASKA,AK,99559,(907) 543-6000,ACUTE CARE HOSPITALS,TRIBAL,Y,Y,2
20024,CENTRAL PENINSULA GENERAL HOSPITAL,250 HOSPITAL PLACE,SOLDOTNA,KENAI PENINSULA,ALASKA,AK,99669,(907) 262-4404,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - OTHER,Y,Y,2
20026,ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,ANCHORAGE,ANCHORAGE,ALASKA,AK,99508,(907) 563-2662,ACUTE CARE HOSPITALS,GOVERNMENT - FEDERAL,Y,Y,2
02013F,673RD MEDICAL GROUP (JOINT BASE ELMENDORF-RICHARDSON),673 MDG 5955 ZEAMER AVE,JBER,ANCHORAGE,ALASKA,AK,99506,(907) 384-1110,ACUTE CARE - DEPARTMENT OF DEFENSE,DEPARTMENT OF DEFENSE,Y,N,3
02014F,BASSETT ACH (FT WAINWRIGHT),4076 NEELY ROAD,FORT WAINWRIGHT,FAIRBANKS NORTH STAR,ALASKA,AK,99703,(907) 361-4000,ACUTE CARE - DEPARTMENT OF DEFENSE,DEPARTMENT OF DEFENSE,Y,N,3
21301,PROVIDENCE VALDEZ MEDICAL CENTER,PO BOX 550,VALDEZ,VALDEZ CORDOVA,ALASKA,AK,99686,(907) 835-2249,CRITICAL ACCESS HOSPITALS,GOVERNMENT - LOCAL,Y,Y,3
21302,PROVIDENCE SEWARD HOSPITAL,"417 FIRST AVENUE, PO BOX 365",SEWARD,KENAI PENINSULA,ALASKA,AK,99664,(907) 224-5205,CRITICAL ACCESS HOSPITALS,GOVERNMENT - LOCAL,Y,Y,3
21304,PETERSBURG MEDICAL CENTER,PO BOX 589,PETERSBURG,PETERSBURG,ALASKA,AK,99833,(907) 772-4291,CRITICAL ACCESS HOSPITALS,GOVERNMENT - LOCAL,Y,N,3
21305,SEARHC WRANGELL MEDICAL CENTER-CAH,310 BENNETT STREET PO BOX 1081,WRANGELL,WRANGELL,ALASKA,AK,99929,(907) 874-7000,CRITICAL ACCESS HOSPITALS,GOVERNMENT - LOCAL,N,N,3
21306,PROVIDENCE KODIAK ISLAND MEDICAL CTR,1915 EAST REZANOF DRIVE,KODIAK,KODIAK ISLAND,ALASKA,AK,99615,(907) 486-3281,CRITICAL ACCESS HOSPITALS,VOLUNTARY NON-PROFIT - CHURCH,Y,Y,3
21307,CORDOVA COMMUNITY MEDICAL CENTER,PO BOX 160 - 602 CHASE AVENUE,CORDOVA,VALDEZ CORDOVA,ALASKA,AK,99574,(907) 424-8000,CRITICAL ACCESS HOSPITALS,GOVERNMENT - LOCAL,Y,N,3
